episode,Arco,name,year,total_votes,average_rating
1,EastBlue,I'm Luffy! The Man Who Will Become the Pirate King!,28/10/1999,647,7.6
2,EastBlue,The Great Swordsman Appears! Pirate Hunter Roronoa Zoro,17/11/1999,473,7.8
3,EastBlue,Morgan vs. Luffy! Who's This Beautiful Young Girl?,24/11/1999,428,7.7
4,EastBlue,Luffy's Past! The Red-haired Shanks Appears!,08/12/1999,449,8.1
5,EastBlue,Fear Mysterious Power! Pirate Clown Captain Buggy!,15/12/1999,370,7.5
6,EastBlue,Desperate Situation! Beast Tamer Mohji vs. Luffy!,29/12/1999,364,7.7
7,EastBlue,Sozetsu Ketto! Kengo Zoro VS Kyokugei no Kabaji!,29/12/1999,344,7.7
8,EastBlue,Shousha wa docchi? Akuma no mi no nouryoku taiketsu!,29/12/1999,335,7.7
9,EastBlue,Seigi no usotsuki? Kyaputen Usoppu,12/01/2000,327,7.3
10,EastBlue,Chijou saikyou no hen na yatsu! Saiminjutsushi Jango,19/01/2000,314,7.5
11,EastBlue,Inbou o abake! Kaizoku shitsuji Kyaputen Kuro,26/01/2000,310,7.4
12,EastBlue,Gekitotsu! Kuroneko kaizokudan sakamichi no daikoubou!,02/02/2000,303,7.8
13,EastBlue,Kyoufu no futarigumi! Nyâban kyoudai vs Zoro,09/02/2000,295,7.8
14,EastBlue,Rufi fukkatsu! Kaya ojousama no kesshi no taikou,16/02/2000,292,7.7
15,EastBlue,Kuro o taose! Otoko Usoppu namida no ketsui!,23/02/2000,286,7.5
16,EastBlue,Kaya o mamore! Usoppu kaizokudan daikatsuyaku!,01/03/2000,286,7.7
17,EastBlue,Ikari bakuhatsu! Kuro vs Rufi kecchaku no yukue!,08/03/2000,296,8.1
18,EastBlue,Anta ga chunjuu! Gaimon to kimyou na nakama,15/03/2000,278,7.1
19,EastBlue,Santouryuu no kako! Zoro to Kuina no chikai!,22/03/2000,324,8.5
20,EastBlue,Meibutsu kokku! Kaijou resutoran no Sanji,29/03/2000,279,7.7
21,EastBlue,Manukarezaru kyaku! Sanji no meshi to Gin on,05/04/2000,267,7.6
22,EastBlue,Saikyou no kaizoku kantai! Teitoku Don Kurîku,12/04/2000,260,7.6
23,EastBlue,Mamore Baratie! Daikaizoku akaashi no Zefu,19/04/2000,257,7.7
24,EastBlue,Tama no me no Mihôku! Kenzoku Zoro umi ni chiru,26/04/2000,340,8.7
25,EastBlue,Hissatsu ashiwaza sakuretsu! Sanji vs Teppeki no Pâru,03/05/2000,256,7.6
26,EastBlue,Zefu to Sanji no yume Maboroshi no ôru burû,10/05/2000,274,8.2
27,EastBlue,Reitetsu hijou no kijin Kaizoku kantai soutaichou Gin,17/05/2000,257,7.6
28,EastBlue,Shinaneeyo! Gekitou Rufi vs Kurîku!,24/05/2000,252,7.7
29,EastBlue,Shitou no Ketchaku! Hara ni Kukutta Ippon no Yari!,31/05/2000,249,7.8
30,EastBlue,Tabidachi! Umi no kokku wa Rufi to tomoni,07/06/2000,268,8.1
31,EastBlue,Higashi no Umi Saiaku no Otoko! Gyojin Kaizoku Arlong!,14/06/2000,237,7.6
32,EastBlue,Cocoyashi Mura no Majo! Arlong no Onna Kanbu,21/06/2000,236,7.7
33,EastBlue,Usopp Shisu?! Luffy Jouriku wa Mada?,28/06/2000,255,7.8
34,EastBlue,Zen'in Shuuketsu! Usopp ga Kataru Nami no Shinjitsu,05/07/2000,250,7.4
35,EastBlue,Himerareta Kako! Onna Senshi Bell-mere!,12/07/2000,254,7.9
36,EastBlue,Ikinuke! Haha Bellemere to Nami no Kizuna!,19/07/2000,277,8.3
37,EastBlue,Luffy Tatsu! Uragirareta Yakusoku no Ketsumatsu!,19/07/2000,324,8.5
38,EastBlue,Luffy Dai Pinch! Gyojin Tai Luffy Kaizokudan,26/07/2000,254,8.2
39,EastBlue,Luffy Suibotsu! Zoro vs Tako no Hacchan,02/08/2000,249,8.0
40,EastBlue,Hokoritakaki Senshi! Gekitou Sanji to Usopp,09/08/2000,248,8.0
41,EastBlue,Luffy Zenkai! Nami no Ketsui to Mugiwara Boushi,16/08/2000,249,8.0
42,EastBlue,Sakuretsu! Gyojin Arlong Umi kara no Moukougeki!,23/08/2000,247,7.9
43,EastBlue,Gyojin Teikoku no Owari! Nami wa Ore no Nakama Da!,30/08/2000,281,8.2
44,EastBlue,Egao no Tabidachi! Saraba Furusato Cocoyashi Mura,06/09/2000,245,7.7
45,EastBlue,Joukinkubi! Mugiwara no Luffy Yo ni Shirewataru,13/09/2000,235,7.6
46,EastBlue,Mugiwara o Oe! Chiisana Buggy no Daibouken,20/09/2000,245,6.3
47,EastBlue,Omachikane! Aa Fukkatsu no Buggy Senchou!,27/09/2000,249,6.3
48,EastBlue,Hajimari to Owari no Machi: Loguetown Jouriku,27/09/2000,241,7.8
49,EastBlue,Sandai Kitetsu to Yubashiri! Zoro no Shintou to Onna Souchou,11/10/2000,253,7.9
50,EastBlue,Usopp Tai Kozure no Daddy: Mahiru no Kettou,25/10/2000,233,7.3
51,EastBlue,Honoo no Ryouri Battle? Sanji VS Bijin Chef,08/11/2000,225,6.8
52,EastBlue,Buggy no Revenge! Shokeidai de Warau Otoko!,22/11/2000,236,8.1
53,EastBlue,Densetsu wa Hajimatta! Mezase Grand Line,22/11/2000,243,8.2
54,EastBlue,Aratanaru Bouken no Yokan! Nazo no Shoujo Apis,29/11/2000,213,7.1
55,EastBlue,Kiseki no Seibutsu! Apis no Himitsu to Densetsu no Shima,06/12/2000,211,6.8
56,EastBlue,Eric Shutsugeki! Gunkanjima kara no Daidasshutsu!,13/12/2000,210,6.7
57,EastBlue,Zekkai no Kotou! Densetsu no Lost Island,20/12/2000,207,6.6
58,EastBlue,Haikyo no Kettou! Kinpaku no Zoro VS Erik!,27/12/2000,201,6.8
59,EastBlue,Luffy Kanzen Houi! Teitoku Nelson no Hisaku,03/01/2001,199,7.1
60,EastBlue,Oozora o Mau Mono! Yomigaeru Sennen no Densetsu!,10/01/2001,195,7.2
61,EastBlue,Ikari no Kecchaku! Red Line o Norikoero!,17/01/2001,199,7.6
62,Alabasta,Saisho no Toride? Kyodai Kujira Laboon Arawaru,24/01/2001,215,7.7
63,Alabasta,Otoko no Yakusoku! Luffy to Kujira Saikai no Chikai,31/01/2001,216,7.4
64,Alabasta,Kaizoku Kangei no Machi? Whiskey Peak Jouriku,07/02/2001,206,7.7
65,Alabasta,Sakuretsu Santouryuu! Zoro VS Baroque Works!,14/02/2001,214,8.1
66,Alabasta,Shinken Shoubu! Luffy VS Zoro Nazo no Daikettou!,21/02/2001,214,7.9
67,Alabasta,Oujo Vivi o Todokero! Luffy Kaizoku Dan Shukkou,21/02/2001,203,7.7
68,Alabasta,Ganbare Coby! Coby-Meppo Kaigun Funtou Ki,28/02/2001,205,6.7
69,Alabasta,Coby-Meppo no Ketsui! Garp Chuujou no Oyagokoro,07/03/2001,202,6.8
70,Alabasta,Taiko no Shima! Little Garden ni Hisomu Kage!,14/03/2001,203,7.3
71,Alabasta,Dekkai Kettou! Kyojin Dorry to Brogy,21/03/2001,204,7.5
72,Alabasta,Luffy Ikaru! Seinaru Kettou ni Hiretsu na Wana!,15/04/2001,202,7.3
73,Alabasta,Brogy Shouri no Goukyuu! Elbaf no Kecchaku,15/04/2001,200,7.4
74,Alabasta,Ma no Candle! Munen no Namida to Ikari no Namida,22/04/2001,202,7.5
75,Alabasta,Luffy o Osou Maryoku! Colors Trap,29/04/2001,197,7.7
76,Alabasta,Iza Hangeki! Usopp no Kiten to Kaenboshi!,13/05/2001,203,7.6
77,Alabasta,Saraba Kyojin no Shima! Arabasuta o Mezase,20/05/2001,200,7.5
78,Alabasta,Nami ga Byouki? Umi ni Furu Yuki no Mukou ni!,27/05/2001,203,7.3
79,Alabasta,Kishuu! Bliking Gou to Blik no Wapol,03/06/2001,196,7.6
80,Alabasta,Isha no Inai Shima? Na mo Naki Kuni no Bouken!,17/06/2001,195,7.7
81,Alabasta,Happy kai? Majo to Yobareta Isha!,24/06/2001,189,7.7
82,Alabasta,Dolton no Kakugo! Wapol Gundan Shima ni Jouriku,15/07/2001,191,7.6
83,Alabasta,Yuki no Sumu Shima! Drum-Rocky o Nobore!,12/08/2001,200,7.7
84,Alabasta,Tonakai wa Aoppana! Chopper no Himitsu,19/08/2001,200,7.7
85,Alabasta,Hamidashi Mono no Yume! Yabuisha Hiluluk!,19/08/2001,211,8.1
86,Alabasta,Hiluluk no Sakura to Uketsugareyuku Ishi!,26/08/2001,251,8.6
87,Alabasta,Versus Wapol Gundan! Bakubaku no Mi no Nouryoku!,02/09/2001,194,7.9
88,Alabasta,Zoan-kei Akuma no Mi! Chopper Nanadan Henkei,09/09/2001,193,7.7
89,Alabasta,Oukoku no Shihai Owaru Toki! Shinnen no Hata wa Eien ni,16/09/2001,190,7.7
90,Alabasta,Hiluluk no Sakura! Drum Rocky no Kiseki,07/10/2001,211,8.3
91,Alabasta,Sayonara Drum-tou! Boku wa Umi e Deru!,07/10/2001,193,7.9
92,Alabasta,Arabasta no Eiyuu to Senjou no Ballerina,21/10/2001,193,7.6
93,Alabasta,Iza Sabaku no Kuni e! Ame o Yobu Kona to Hanrangun,28/10/2001,192,7.2
94,Alabasta,Gouketsu-tachi no Saikai! Yatsu no Na wa Hiken no Ace,04/11/2001,217,8.4
95,Alabasta,Ace to Luffy! Atsuki Omoi to Kyoudai no Kizuna,11/11/2001,209,8.1
96,Alabasta,Midori no Machi Erumaru to Kung Fu Jugon!,18/11/2001,195,7.3
97,Alabasta,Suna no Kuni no Bouken! Ennetsu no Daichi ni Sumu Mamono,25/11/2001,189,7.4
98,Alabasta,Sabaku no Kaizokudan Toujou! Jiyuu ni Ikiru Otoko-tachi,02/12/2001,185,7.2
99,Alabasta,Nisemono no Iji! Kokoro no Hanrangun Kamyu!,09/12/2001,180,7.1
100,Alabasta,Hanrangun Senshi Kouza! Vivi ni Chikatta Yume!,09/12/2001,181,7.6
101,Alabasta,Kagerou no Kettou! Ace vs Otoko Scorpion,16/12/2001,177,6.8
102,Alabasta,Iseki to Mayoigo! Vivi to Nakama to Kuni no Katachi,23/12/2001,168,7.1
103,Alabasta,Spiders Cafe ni 8-ji Teki Kanbu Shuugou,06/01/2001,179,7.5
104,Alabasta,Luffy Tai Vivi! Nakama ni Kakeru Namida no Chikai,12/01/2001,180,7.9
105,Alabasta,Alabasta Sensen! Yume no Machi Rainbase,20/01/2001,175,7.9
106,Alabasta,Zettai Zetsumei no Wana! Rain Dinners Totsunyuu,27/01/2001,181,8.1
107,Alabasta,Utopia Sakusen Hatsudou! Ugokidashita Uneri,03/02/2001,175,7.9
108,Alabasta,Kyoufu no Bananawani to Mr. Prince,10/02/2001,180,8.1
109,Alabasta,Gyakuten Dai Dasshutsu e no Kagi! Doru-Doru Ball!,17/02/2001,187,8.2
110,Alabasta,Nasake Muyou no Shitou! Luffy vs Crocodile,24/02/2001,206,8.4
111,Alabasta,Kiseki e no Shissou! Arabasta Doubutsu Land,03/03/2001,182,7.8
112,Alabasta,Hanrangun Tai Kokuougun! Kessen wa Alubarna!,10/03/2001,188,8.0
113,Alabasta,Nageki no Alubarna! Gekitou Carue Taichou!,17/03/2001,181,7.8
114,Alabasta,Nakama no Yume ni Chikau! Kettou Mogurazuka 4-bangai,24/03/2001,182,7.9
115,Alabasta,Honjitsu Daikoukai! Mane-Mane Montage!,31/03/2001,189,8.0
116,Alabasta,Nami ni Henshin! Bon Clay Renpatsu Ballet Kenpou,07/04/2001,176,7.9
117,Alabasta,Nami no Senpuu Chuuihou! Clima Takt Sakuretsu,14/04/2001,181,8.0
118,Alabasta,Ouke ni Tsutawaru Himitsu! Kodai Heiki Pluton,21/04/2001,176,7.9
119,Alabasta,Gouken no Gokui! Koutetsu o Kiru Chikara to Mono no Kokyuu,28/04/2001,213,8.5
120,Alabasta,Tatakai wa Owatta! Kooza ga Kakageta Shiroi Hata,05/05/2001,177,7.9
121,Alabasta,Vivi no Koe no Yukue! Hero wa Maiorita!,12/05/2001,182,8.2
122,Alabasta,Suna Wani to Mizu Luffy! Kettou Dai 2 Round,19/05/2001,185,8.4
123,Alabasta,Wanippoi! Ouke no Haka e Hashire Luffy!,26/05/2001,180,8.2
124,Alabasta,Akumu no Toki Semaru! Koko wa Sunasunadan Himitsu Kichi,02/06/2001,179,8.1
125,Alabasta,Idainaru Tsubasa! Waga Na wa Kuni no Shugoshin Pell,09/06/2001,195,8.5
126,Alabasta,Koeteiku! Arabasta ni Ame ga Furu!,16/06/2001,302,9.0
127,Alabasta,Buki yo Saraba! Kaizoku to Ikutsuka no Seigi,23/06/2001,178,8.0
128,Alabasta,Kaizoku-tachi no Utage to Arabasta Dasshutsu Sakusen!,30/06/2001,179,8.0
129,Alabasta,Hajimari wa Ano Hi! Vivi ga Kataru Boukentan!,14/07/2001,213,8.5
130,Alabasta,Kiken na Kaori! Shichininme wa Nico Robin!,21/07/2001,194,8.3
131,Alabasta,Hajimete no Kranke! Rumble Ball Hiwa,28/07/2001,161,7.0
132,Alabasta,Koukaishi no Hanran! Yuzurenai Yume no Tame ni!,04/08/2001,156,6.8
133,Alabasta,Uketsugareru Recipe! Curry no Tetsujin Sanji,11/08/2001,155,6.9
134,Alabasta,Sakasete Misemasu! Otoko Usopp Hasshakudama,18/08/2001,155,6.9
135,Alabasta,Uwasa no Kaizokugari! Sasurai no Kenshi Zoro,25/08/2001,156,7.0
136,Skypea,Yagi no Shima no Zenny to Yama no Naka no Kaizokusen!,01/09/2001,151,6.7
137,Skypea,Moukarimakka? Kanekashi Zenny no Yabou!,08/09/2001,151,6.9
138,Skypea,Shima no Otakara no Yukue! Zenny Kaizokudan Shutsugeki!,15/09/2001,148,6.6
139,Skypea,Niji-iro no Kiri Densetsu! Ruluka Tou no Roujin Henzo,22/09/2001,148,7.2
140,Skypea,Eien no Kuni no Juunin! Pumpkin Kaizokudan!,29/09/2001,151,6.9
141,Skypea,Furusato e no Omoi! Dasshutsu Funou no Kaizoku Hakaba!,06/10/2001,145,6.9
142,Skypea,Ransen Hisshi! Wetton no Yabou to Niji no Tou,13/10/2001,145,6.8
143,Skypea,Soshite Densetsu ga Hajimaru! Iza Niji no Kanata e,20/10/2001,150,7.5
144,Skypea,Ubawareta Log! Salvage-ou Mashira!,27/10/2001,158,7.3
145,Skypea,Kaibutsu Toujou! Shirohige Ichimi ni wa Te o Dasuna,03/11/2001,160,7.5
146,Skypea,Yume o Miruna! Azakeri no Machi Mock Town!,10/11/2001,157,7.8
147,Skypea,Kaizoku no Takami! Yume o Kataru Otoko to Kaitei Tansaku Ou,17/11/2001,163,7.5
148,Skypea,Densetsu no Ichizoku!  ,24/11/2001,158,7.5
149,Skypea,Kumo Kaji Ippai! Southbird o Oe!,01/12/2001,153,7.4
150,Skypea,Yume wa Kanawanai!? Bellamy VS Saruyama Rengou,08/12/2001,157,8.0
151,Skypea,Ichioku no Otoko! Sekai Saikou Kenryoku to Kaizoku Kurohige,15/12/2001,231,8.7
152,Skypea,Fune wa Sora o Yuku! Knock-Up Stream ni Nore,22/12/2001,159,8.1
153,Skypea,Koko wa Sora no Umi! Sora no Kishi to Tengoku no Mon,29/12/2001,155,7.9
154,Skypea,Kami no Kuni Skypiea! Kumo no Nagisa no Tenshi-tachi,05/01/2002,157,7.5
155,Skypea,Kindan no Seichi! Kami no Sumu Shima to Ten no Sabaki!,12/01/2002,152,7.5
156,Skypea,Hayaku mo Hanzaisha!? Skypiea no Hou no Bannin,19/01/2002,157,7.6
157,Skypea,Dasshutsu Naru ka!? Ugokihajimeta Kami no Shiren!,26/01/2002,154,7.6
158,Skypea,Lovely-doori no Wana! Zennounaru God Enel,02/02/2002,152,7.6
159,Skypea,Susume Karasumaru! Ikenie no Saidan o Mezase,09/02/2002,151,7.7
160,Skypea,Seizonritsu 10%! Mantra-tsukai no Shinkan Satori!,16/02/2002,158,7.8
161,Skypea,Peril of the Ordeal of Balls! Fight to the Death in the Lost Forest,23/02/2002,157,7.7
162,Skypea,Chopper Ayaushi! Motokami Tai Shinkan Shura,02/03/2002,157,7.8
163,Skypea,Makafushigi! Himo no Shiren to Koi no Shiren!?,09/03/2002,152,7.8
164,Skypea,Shandra no Hi o Tomose! Senshi Wiper,16/03/2002,152,7.8
165,Skypea,Tenkuu no Ougonkyou Jaya! Mezase Kami no Yashiro!,23/03/2002,152,7.7
166,Skypea,Ougon Zen'yasai!,30/03/2002,149,7.7
167,Skypea,God Enel Toujou!! Ikinokori e no Aubade,06/04/2002,149,7.6
168,Skypea,Kibamuku Uwabami! Tsui ni Hajimaru Survival Game,13/04/2002,155,7.6
169,Skypea,Sutemi no Haigeki (Reject)!  ,20/04/2002,154,7.7
170,Skypea,Kuuchuu no Gekisen! Kaizoku Zoro VS Senshi Braham,27/04/2002,161,8.0
171,Skypea,Unaru Burn Bazooka!! Luffy VS Senki Wiper,04/05/2002,155,7.8
172,Skypea,Numa no Shiren! Chopper VS Shinkan Gedatsu!!,11/05/2002,152,7.8
173,Skypea,Muteki no Nouryoku! Akasareru Enel no Shoutai,18/05/2002,154,7.9
174,Skypea,Maburoshi no Miyako! Yuudai Naru Shandra no Iseki!!,25/05/2002,155,7.8
175,Skypea,Seizonritsu 0%!! Chopper VS Shinkan Ohm,01/06/2002,151,7.8
176,Skypea,Giant Jack o Nobore!! Jouzou Iseki no Shitou,08/06/2002,156,7.9
177,Skypea,Tetsu no Shiren no Shinkoccyou! Shiruibara Death Match!!,15/06/2002,160,8.0
178,Skypea,Hotobashiru Zangeki! Zoro VS Shinkan Ohm!!,22/06/2002,161,8.2
179,Skypea,Kuzure Yuku Jousou Iseki! Finale e no Quintet!!,29/06/2002,160,8.2
180,Skypea,Kodai Iseki no Taiketsu! God Enel no Mokuteki!!,06/07/2002,161,8.4
181,Skypea,Fairy Vearth e no Yabou Hakobune Maxim!!,13/07/2002,157,8.2
182,Skypea,Tsuini Gekitotsu! Kaizoku Luffy VS God Enel!!,20/07/2002,173,8.4
183,Skypea,Maxim Fujou! Ugoki Hajimeta Deathpiea!!,27/07/2002,164,8.4
184,Skypea,Luffy Rakka! Kami no Sabaki to Nami no Nozomi!!,03/08/2002,157,8.0
185,Skypea,Mezameta Futari! Moeru Koi no Kyuushutsu Zensen,10/08/2002,164,8.2
186,Skypea,Zetsubou e no Capriccio Semaei Kuru Sora Shima no Shoumetsu!!,17/08/2002,156,7.8
187,Skypea,Kane no Ne no Michibiki! Daisenshi to Tankenka no Monogatari,24/08/2002,154,7.7
188,Skypea,Jubaku kara no Kaihou! Daisenshi ga Nagashita Namida!!,31/08/2002,150,7.7
189,Skypea,Eien no Shinyuu! Oo-unabari ni Hibikuchikai no Kane!!,07/09/2002,174,8.3
190,Skypea,Angel-tou Shoumetsu! Raigou Kourin no Kyoufu!!,14/09/2002,151,8.0
191,Skypea,Giant Jack o Taose! Dasshutsu e no Saigo no Nozomi,21/09/2002,151,8.0
192,Skypea,Kami no Kune no Kiseki! Tenshi no Todoita Love Song,28/09/2002,166,8.4
193,Skypea,Tatakai no Shuuen! Tooku Hibiku Hokori Takaki Fantasia,05/10/2002,150,7.8
194,Skypea,Ware Koko ni Itaru! Poneglyphs ga Tsumugu Mono,12/10/2002,150,7.9
195,Skypea,Iza Seikai e!! Omoi ga Orinasu Saishuu Gakushou,19/10/2002,154,7.8
196,Skypea,Hijoujitai Hatsurei! Akumei Takaki Kaisokusen Sennyuu!,26/10/2002,143,7.2
197,Skypea,Ryourinin Sanji! Kaigun Shokudou de Shinka Hakki!,02/11/2002,141,7.4
198,Skypea,Torawareru Zoro to Chopper Kinkyuu Shittou,09/11/2002,143,7.1
199,Skypea,Semaru Kaigun no Sousa mou! Torawareta Futari Me!,16/11/2002,142,7.4
200,Skypea,Kesshi no Luffy to Sanji! Kyuushutsu Dai Sakusen!,23/11/2002,137,7.6
201,Skypea,Nekketsu Tokubetsu Butai Sansen! Bridge Koubousen!,30/11/2002,135,7.5
202,Skypea,Houi Mou Toppa! Dakkan Going Merry Gou,07/12/2002,139,7.4
203,Skypea,Kieta Kaizokusen! Yousai Koubou Dai 2 Round,14/12/2002,141,7.3
204,Skypea,Ougon Dakkan Sakusen to Waver Kaishuu Sakusen!,21/12/2002,137,7.4
205,Skypea,Ichimoudajin Keikaku! Jonathan Jishin no Hisaku,28/12/2002,137,7.5
206,Skypea,Saraba Kaigun Yousai! Dasshutsu e no Saigo no Koubou,04/01/2003,141,7.6
207,Water7,Long Ring Long Land no Dai Bouken!,11/01/2003,144,7.4
208,Water7,Foxy Kaizoku Dan to Davy Back!,18/01/2003,146,7.4
209,Water7,Dai Ikkaisen! Gururi Isshuu Doughnut Race,25/01/2003,143,7.5
210,Water7,Gingitsune no Foxy! Mouretsu Bougai Kousei,01/02/2003,149,7.3
211,Water7,Dai 2 Kaisen! Buchi Kome Groggy Ring,08/02/2003,152,7.5
212,Water7,Red Card Renpatsu! Groggy Ring,15/02/2003,145,7.7
213,Water7,Dai Sankaisen! Guru Guru Roller Race!,22/02/2003,143,7.3
214,Water7,Hakunetsu Bakusou Race! Saishuu Round Totsunyuu!,01/03/2003,139,7.6
215,Water7,Unaru Netsukyuu Goukyuu! Kaizoku Dodgeball!,08/03/2003,145,7.1
216,Water7,Dangai no Kessen! Daruma-san ga Koronda!,15/03/2003,146,7.1
217,Water7,Captain Taiketsu! Saishuusen Combat!,22/03/2003,152,7.2
218,Water7,Zenkai Noro Noro Kougeki VS Fujimi no Luffy,29/03/2003,149,7.3
219,Water7,Souzetsu Nettou Combat! Unmei no Saishuu Kecchaku,05/04/2003,144,7.6
220,Water7,Ushinatta? Ubawareta? Omae wa Dare Da?,12/04/2003,132,7.4
221,Water7,Fue o Idaita Nazo no Shounen to Robin no Suiri!,19/04/2003,134,7.1
222,Water7,Iza Kioku o Dakkan Seyo! Kaizoku Dan Shima ni Jouriku,26/04/2003,138,6.9
223,Water7,Kiba o Muku Zoro! Tachihadakatta Yajuu!,03/05/2003,131,7.3
224,Water7,Honjou o Awarashita Kioku Dorobou no Saigo Gyakushuu,10/05/2003,131,7.0
225,Water7,Hokori takaki otoko! Gin Gitsune no Foxy,17/05/2003,137,6.8
226,Water7,Mottomo Muteki ni Tsuyoi Yatsu? Tomottomo Kiken na Otoko!,24/05/2003,139,6.8
227,Water7,Kaigun Honbu Taishou Aokiji! Saikou Senryoku no Kyoui,31/05/2003,159,8.3
228,Water7,Gomu to Koori no Ikkiuchi! Luffy vs Aokiji,07/06/2003,151,8.0
229,Water7,Shissou Umi Ressha to Mizu no Toshi Water Seven,14/06/2003,148,7.6
230,Water7,Suijou Toshi no Bouken! Mokushise Kyodai Zousen Koujou,21/06/2003,146,7.7
231,Water7,Franky ikka to Iceberg san!,28/06/2003,146,7.7
232,Water7,Garera Company! Soukan Ichiban Dock,05/07/2003,147,7.7
233,Water7,Kaizoku Yuukai Jiken to Shi o Matsu Dake no Kaizokusen,12/07/2003,150,7.6
234,Water7,Nakama Kyuushutsu! Harikomi Franky House,19/07/2003,167,8.4
235,Water7,Gekka no Oogenka! Kanashimi ni Hirugaeru Kaizokuki!,26/07/2003,196,8.6
236,Water7,Luffy VS Usopp! Butsukaru Otoko no Iji,02/08/2003,249,8.9
237,Water7,Genkishin Mizu no Toshi! Nerawareta Iceberg,09/08/2003,145,7.8
238,Water7,Gomu Gomu Ningen VS Ka o Fuku Cyborg,16/08/2003,145,8.0
239,Water7,Hannin wa Mugiwara Kaizukudan? Mizu no Toshi Youjinbou,23/08/2003,146,7.8
240,Water7,Eien no Wakare? Yamo o Hiku Onna Nico Robin,30/08/2003,142,7.8
